id;category_id;title;condition;car_year;brand;model;version;engine;engine_power;doors;km;fuel_type;traction_control;passenger_capacity;transmission;currency;price;seller_id;seller_nickname;is_car_shop;seller_country;seller_state;seller_city;seller_neighborhood
MLA1649045732;MLA1744;Volkswagen Gol 1.4 3 Ptas. / Nafta / 2014;Usado;2014;Volkswagen;Gol;1.4 Power 83cv 3 p;1.4;83 hp;3;71000 km;Nafta;Delantera;5;Manual;USD;4400;172787518;VENDOSUAUTO;FALSO;Argentina;Bs.As. G.B.A. Sur;Avellaneda;Avellaneda
MLA1657936370;MLA1744;Volkswagen Gol;Usado;2012;Volkswagen;Gol;1.4 Power Ps+ac 83cv;1.4;83 hp;5;122000 km;Nafta;Delantera;5;Manual;USD;5500;1410909446;AUTOMOTORESMANUCOMINO202306291;FALSO;Argentina;Bs.As. G.B.A. Norte;San Isidro;Martínez
MLA1649410228;MLA1744;Gol Power Air/dir Nafta 2011;Usado;2011;Volkswagen;Gol;1.4 Power Ps+ac 83cv;1.4;83 hp;5;178000 km;Nafta;Delantera;5;Manual;USD;5000;115148300;COLLUR AUTOS;FALSO;Argentina;Bs.As. G.B.A. Sur;La Plata;Tolosa
MLA1404170497;MLA1744;Volkswagen Gol 2013 1.4 Power 83cv 3 P;Usado;2013;Volkswagen;Gol;1.4 Power 83cv 3 p;1.4;83 hp;3;71000 km;Nafta;Delantera;5;Manual;USD;6600;453210724;AUTOMOTORESSERMAY;FALSO;Argentina;Bs.As. G.B.A. Norte;Pilar;
MLA1405544919;MLA1744;Volkswagen Power 1.6 Aire Y Dirección 2011;Usado;2011;Volkswagen;Gol;1.6 I Power 701;1.6;92 hp;3;105000 km;Nafta;Delantera;5;Manual;USD;4500;62822438;SPORTAUTOS MOVILES;FALSO;Argentina;Capital Federal;Capital Federal;Villa Urquiza
MLA1402833911;MLA1744;Gol 1.4 3p Power Plus 2014 65.000 Km;Usado;2014;Volkswagen;Gol;1.4 Power Ps+ac 83cv;1.4;83 hp;5;65000 km;Nafta;Delantera;5;Manual;USD;7500;162732698;RICARDOROMERAEHIJOS;FALSO;Argentina;Bs.As. Costa Atlántica;Mar del Plata;Otros Barrios
MLA1632507472;MLA1744;Volkswagen Gol;Usado;1993;Volkswagen;Gol;1.6 Gl;1.6;90 hp;3;150000 km;Nafta;Delantera;5;Manual;USD;3900;24693826;RUFFO AUTOS;FALSO;Argentina;Bs.As. G.B.A. Sur;Lanús;Lanús Oeste
MLA1636564760;MLA1744;Volkswagen Gol 2007 1.6 I Power 601;Usado;2007;Volkswagen;Gol;1.6 I Power 601;1.6;92 hp;3;145000 km;Nafta;Delantera;5;Manual;ARS;4800000;724657393;FEBBRAIOSERGIO;FALSO;Argentina;Bs.As. G.B.A. Norte;Malvinas Argentinas;
MLA1404699761;MLA1744;Volkswagen Gol 2011 1.4 Power Ps+ac 83cv;Usado;2011;Volkswagen;Gol;1.4 Power Ps+ac 83cv;1.4;83 hp;5;163000 km;Nafta;Delantera;5;Manual;USD;5200;709689801;ZONAMATIASGABRIEL;FALSO;Argentina;Bs.As. G.B.A. Sur;Avellaneda;
MLA1403529801;MLA1744;Volkswagen Gol Power;Usado;2011;Volkswagen;Gol;1.4 Power 83cv;1.4;83 hp;3;130000 km;Nafta;Delantera;5;Manual;USD;5200;160478819;NG AUTOMOTORES;FALSO;Argentina;Santa Fe;Rosario;Echesortu
MLA1604306086;MLA1744;Volkswagen Gol 2012 1.4 Power Ps+ac 83cv;Usado;2012;Volkswagen;Gol;1.4 Power Ps+ac 83cv;1.4;83 hp;5;89000 km;Nafta;Delantera;5;Manual;USD;5800;73854268;AUTOMOTORES RD;FALSO;Argentina;Bs.As. G.B.A. Norte;General San Martín;
MLA1599504222;MLA1744;Volkswagen Gol 1.6 3p 2005 Automotores Gps;Usado;2005;Volkswagen;Gol;1.6 Mi Deejay;1.6;90 hp;3;86000 km;Nafta;Delantera;5;Manual;ARS;5000000;1197559530;ADRIAN GPS;FALSO;Argentina;Bs.As. G.B.A. Sur;Lanús;Lanús Oeste
MLA1648628906;MLA1744;Volkswagen Gol 1994 1.6 Gl;Usado;1994;Volkswagen;Gol;1.6 Gl;1.6;90 hp;3;98000 km;Nafta;Delantera;5;Manual;USD;6500;226241205;MAURO.BNT;FALSO;Argentina;Bs.As. G.B.A. Sur;Quilmes;
MLA1612033840;MLA1744;Volkswagen Gol 2012 1.4 Power 83cv;Usado;2012;Volkswagen;Gol;1.4 Power 83cv;1.4;83 hp;3;130000 km;Nafta;Delantera;5;Manual;ARS;5500000;60328822;SUPERSPORTAUTOS;FALSO;Argentina;Bs.As. G.B.A. Sur;Lomas de Zamora;
MLA1548523824;MLA1744;Volkswagen Gol  Comfortline 1.6 C/gnc 5ta Gen.;Usado;2006;Volkswagen;Gol;1.6 I Comfortline 60a;1.6;92 hp;5;200000 km;Nafta;Delantera;5;Manual;USD;4200;80932952;ITAL-AUTO;FALSO;Argentina;Bs.As. G.B.A. Norte;San Isidro;
MLA1401892735;MLA1744;Volkswagen Gol 2013 1.4 Power Ps+ac 83cv;Usado;2013;Volkswagen;Gol;1.4 Power Ps+ac 83cv;1.4;83 hp;5;152000 km;Nafta;Delantera;5;Manual;ARS;7500000;31972174;MONTOYA AUTOMOTORES;FALSO;Argentina;Córdoba;Córdoba;
MLA1397526675;MLA1744;Volkswagen Gol 2012 1.4 Power Ps+ac 83cv;Usado;2012;Volkswagen;Gol;1.4 Power Ps+ac 83cv;1.4;83 hp;5;106000 km;Nafta;Delantera;5;Manual;USD;5300;49095561;PUNTOAUTOROQUEPEREZ;FALSO;Argentina;Buenos Aires Interior;Roque Pérez;
MLA1396458581;MLA1744;Volkswagen Golpower 1.4 3ptas;Usado;2013;Volkswagen;Gol;1.4 Power 83cv 3 p;1.4;83 hp;3;160000 km;Nafta;Delantera;5;Manual;USD;5500;83023955;AUTOMOTORES MOSCONI;FALSO;Argentina;Bs.As. G.B.A. Oeste;La Matanza;Lomas del Mirador
MLA1395558033;MLA1744;Volkswagen Gol 2012 1.4 Power Ps+ac 83cv;Usado;2012;Volkswagen;Gol;1.4 Power Ps+ac 83cv;1.4;83 hp;5;204000 km;Nafta;Delantera;5;Manual;USD;5500;1278339515;BLOCKFEDERICO20230103091202;FALSO;Argentina;Córdoba;Punilla;
MLA1402904567;MLA1744;Volkswagen Gol 2006 1.6 I Power 601 3 P;Usado;2006;Volkswagen;Gol;1.6 I Power 601 3 p;1.6;92 hp;3;47200 km;Nafta;Delantera;5;Manual;ARS;7000000;53096646;LUCIANO_KS25;FALSO;Argentina;Bs.As. G.B.A. Oeste;Morón;
MLA1518680820;MLA1744;Volkswagen Gol 2011 1.4 Power Ps+ac 83cv;Usado;2011;Volkswagen;Gol;1.4 Power Ps+ac 83cv;1.4;83 hp;5;115000 km;Nafta;Delantera;5;Manual;USD;4700;137858193;AUTOMOTORES JETJET;FALSO;Argentina;Bs.As. G.B.A. Norte;San Miguel;
MLA1620338252;MLA1744;Volkswagen Gol 2006 1.6 I Power 601;Usado;2006;Volkswagen;Gol;1.6 I Power 601;1.6;92 hp;5;148000 km;Nafta;Delantera;5;Manual;USD;4800;59383213;AUTOMOTIVE LANUS;FALSO;Argentina;Bs.As. G.B.A. Sur;Lanús;Remedios de Escalada
MLA1617179148;MLA1744;Volkswagen Gol 2006 1.6 I Power 601 5 P;Usado;2006;Volkswagen;Gol;1.6 I Power 601 5 p;1.6;92 hp;5;73000 km;Nafta;Delantera;5;Manual;USD;4500;60988282;CAR USADOS;FALSO;Argentina;Bs.As. G.B.A. Norte;San Isidro;
MLA1402113689;MLA1744;Volkswagen Gol 2011 1.4 Power 83cv;Usado;2011;Volkswagen;Gol;1.4 Power 83cv;1.4;83 hp;3;160000 km;Nafta;Delantera;5;Manual;USD;4800;1143112323;REPFRDGT5;FALSO;Argentina;Bs.As. G.B.A. Norte;San Miguel;
MLA1577890048;MLA1744;Volkswagen Gol 2013 1.4 Power 83cv 5 P;Usado;2013;Volkswagen;Gol;1.4 Power 83cv 5 p;1.4;83 hp;5;107000 km;Nafta;Delantera;5;Manual;USD;5400;59296317;AUTOMOTORES.DEL..ESTE2..;FALSO;Argentina;Bs.As. G.B.A. Oeste;Castelar;
MLA1559815892;MLA1744;Volkswagen Gol 1.4 Power 5p;Usado;2013;Volkswagen;Gol;1.4 power 5p;1.4;83 hp;5;74000 km;Nafta;Delantera;5;Manual;USD;6200;151714700;PIKO AUTOMOTORES;FALSO;Argentina;Capital Federal;Capital Federal;
MLA1400136225;MLA1744;Volkswagen Gol 2007 1.6 I Power 601;Usado;2007;Volkswagen;Gol;1.6 I Power 601;1.6;92 hp;3;117000 km;Nafta/GNC;Delantera;5;Manual;USD;4900;56286911;GONZALEZ AUTOMOTORES;FALSO;Argentina;Capital Federal;Capital Federal;Parque Avellaneda
MLA1640730934;MLA1744;Volkswagen Gol 2011 1.4 Power Ps+ac 83cv;Usado;2011;Volkswagen;Gol;1.4 Power Ps+ac 83cv;1.4;83 hp;5;90000 km;Nafta;Delantera;5;Manual;ARS;5000000;51173475;AUTOS_IRIGOYEN;FALSO;Argentina;Bs.As. G.B.A. Oeste;Castelar;
MLA1655295064;MLA1744;Volkswagen Gol 2006 1.6 I Power 601 3 P;Usado;2006;Volkswagen;Gol;1.6 I Power 601 3 p;1.6;92 hp;3;165000 km;Nafta;Delantera;5;Manual;USD;4200;1273781501;FRELEANDRO20221227053514;FALSO;Argentina;Bs.As. G.B.A. Norte;Tigre;
MLA1402804631;MLA1744;Volskwagen Gol Power 1.4l 3p 2013 Gris;Usado;2013;Volkswagen;Gol;1.4 Power Ps+ac 83cv;1.4;83 hp;3;88300 km;Nafta;Delantera;5;Manual;USD;5000;59350155;CYC AUTOS;FALSO;Argentina;Bs.As. G.B.A. Sur;Avellaneda;Sarandí
MLA1649817804;MLA1744;Volkswagen Gol Power 1.6;Usado;2009;Volkswagen;Gol;1.6 I Power 701;1.6;92 hp;3;154000 km;Nafta;Delantera;5;Manual;USD;4500;57920765;FERDOCAMPO;FALSO;Argentina;Capital Federal;Capital Federal;Parque Patricios
MLA1403252003;MLA1744;Volkswagen Gol 2013 1.4 Power Ps+ac 83cv;Usado;2013;Volkswagen;Gol;1.4 Power Ps+ac 83cv;1.4;83 hp;5;159000 km;Nafta;Delantera;5;Manual;ARS;3900000;187619737;AUTOMOVILES ALCORTA;FALSO;Argentina;Bs.As. G.B.A. Norte;General San Martín;
MLA1656930338;MLA1744;Volkswagen Gol 2007 1.6 I Power 601;Usado;2007;Volkswagen;Gol;1.6 I Power 601;1.6;92 hp;3;163000 km;Nafta;Delantera;5;Manual;USD;4500;377680454;NICOGMISAEL;FALSO;Argentina;Buenos Aires Interior;San Vicente;
MLA1640271384;MLA1744;Volkswagen Gol 2014 1.4 Power 83cv 5 P;Usado;2014;Volkswagen;Gol;1.4 Power 83cv 5 p;1.4;83 hp;5;77000 km;Nafta;Delantera;5;Manual;USD;5500;37287999;RPUSADOS2010;FALSO;Argentina;Bs.As. G.B.A. Oeste;Tres de febrero;
MLA1401773015;MLA1744;Volkswagen Gol  Power 2006 Permuto / Financio;Usado;2006;Volkswagen;Gol;1.6 I Power 601 3 p;1.6;92 hp;3;190000 km;Nafta;Delantera;5;Manual;USD;4500;122266532;AUTOMOTORESBERALDI;FALSO;Argentina;Bs.As. G.B.A. Sur;Florencio Varela;
MLA1399565615;MLA1744;Volkswagen Gol Power 1.4l Nafta Full Año 2012 1ra Mano;Usado;2012;Volkswagen;Gol;1.4 Power 83cv;1.4;83 hp;3;105000 km;Nafta;Delantera;5;Manual;ARS;5590000;48124990;ERNESTO AUTOMOTORES;FALSO;Argentina;Capital Federal;Capital Federal;Parque Chacabuco
MLA1399001047;MLA1744;Volkswagen Gol 2010 1.6 I Power 701 Nafta Y Gnc;Usado;2010;Volkswagen;Gol;1.6 I Power 701;1.6;92 hp;3;132000 km;Nafta;Delantera;5;Manual;USD;5200;84915624;AUTOMOTORESLOSMELLI2009;FALSO;Argentina;Bs.As. G.B.A. Oeste;Morón;Haedo
MLA1403232627;MLA1744;Volkswagen Gol 2011 1.4 Power Ps+ac 83cv;Usado;2011;Volkswagen;Gol;1.4 Power Ps+ac 83cv;1.4;83 hp;5;139000 km;Nafta;Delantera;5;Manual;USD;4990;102864393;BENESPERI AUTOMOTORES;FALSO;Argentina;Bs.As. G.B.A. Sur;La Plata;
MLA1406744403;MLA1744;Volkswagen Gol 1999 1.0 Gl Mi 3 P;Usado;1999;Volkswagen;Gol;1.0 Gl Mi 3 p;1.0;54 hp;3;250000 km;Nafta;Delantera;5;Manual;USD;1500;167724905;NICOTANONI;FALSO;Argentina;Bs.As. G.B.A. Norte;San Fernando;
MLA1405786183;MLA1744;Volkswagen Gol 2012 1.4 Power Ps+ac 83cv;Usado;2012;Volkswagen;Gol;1.4 Power Ps+ac 83cv;1.4;83 hp;5;57000 km;Nafta;Delantera;5;Manual;USD;5600;645916487;AR.FEDE;FALSO;Argentina;Bs.As. G.B.A. Sur;La Plata;
MLA1641768788;MLA1744;Vw Gol Gl;Usado;1994;Volkswagen;Gol;1.6 Gl Aa;1.6;90 hp;3;245530 km;Nafta/GNC;Delantera;5;Manual;USD;3000;126645503;MATIASCALOIA;FALSO;Argentina;Bs.As. G.B.A. Norte;Malvinas Argentinas;Villa de Mayo
